Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","1uF","C_1206_3216Metric",63.000000,-131.500000,180.000000,top
"C2","2.2uF","C_0805_2012Metric",87.000000,-109.500000,0.000000,top
"C3","2.2uF","C_0805_2012Metric",91.000000,-109.500000,0.000000,top
"C4","1uF","C_0603_1608Metric",85.775000,-123.000000,0.000000,top
"C5","100nF","C_0603_1608Metric",94.600000,-113.000000,90.000000,top
"C6","10uF","C_1210_3225Metric",94.600000,-116.800000,-90.000000,top
"C7","1uF","C_0603_1608Metric",85.775000,-125.000000,0.000000,top
"C8","220nF","C_0603_1608Metric",91.775000,-125.000000,0.000000,top
"C9","220nF","C_0603_1608Metric",91.775000,-123.000000,0.000000,top
"C10","1uF","C_0603_1608Metric",85.775000,-127.000000,0.000000,top
"C11","1uF","C_0603_1608Metric",85.775000,-129.000000,0.000000,top
"C12","220nF","C_0603_1608Metric",91.775000,-129.000000,0.000000,top
"C13","220nF","C_0603_1608Metric",91.775000,-127.000000,0.000000,top
"C14","1uF","C_1206_3216Metric",115.400000,-109.400000,-90.000000,top
"C15","100nF","C_0603_1608Metric",112.275000,-122.750000,180.000000,top
"C16","100nF","C_0603_1608Metric",108.750000,-122.750000,0.000000,top
"C17","100nF","C_0603_1608Metric",105.250000,-122.750000,180.000000,top
"C18","100nF","C_0603_1608Metric",101.750000,-122.750000,0.000000,top
"C19","680nF","C_0603_1608Metric",96.500000,-132.000000,180.000000,top
"C20","680nF","C_0603_1608Metric",111.000000,-143.225000,0.000000,top
"C21","680nF","C_0603_1608Metric",117.500000,-132.000000,0.000000,top
"C22","680nF","C_0603_1608Metric",114.000000,-143.225000,180.000000,top
"C23","470uF","CP_Wurth_WCAP-ASLL-D16L17",128.000000,-119.000000,90.000000,top
"C24","10uF","C_1206_3216Metric",117.000000,-114.000000,90.000000,top
"C25","10uF","C_1206_3216Metric",100.000000,-118.400000,90.000000,top
"C26","100nF","C_0603_1608Metric",114.500000,-115.975000,90.000000,top
"C27","100nF","C_0603_1608Metric",125.400000,-93.800000,180.000000,top
"C28","100nF","C_0603_1608Metric",102.000000,-93.800000,180.000000,top
"C29","100nF","C_0603_1608Metric",78.800000,-93.800000,180.000000,top
"C30","100nF","C_0603_1608Metric",55.600000,-104.600000,180.000000,top
"C41","100nF","C_0603_1608Metric",140.400000,-117.920000,0.000000,top
"C42","100nF","C_0603_1608Metric",140.400000,-120.260000,0.000000,top
"C43","100nF","C_0603_1608Metric",140.400000,-122.600000,0.000000,top
"C201","10uF","C_1210_3225Metric",136.000000,-135.000000,90.000000,top
"C202","100nF","C_0603_1608Metric",136.000000,-139.000000,180.000000,top
"C203","10uF","C_0805_2012Metric",60.500000,-139.000000,180.000000,top
"C204","10uF","C_0805_2012Metric",66.500000,-131.000000,-90.000000,top
